collegeName,aliasName,state,city,photo,rank,ACT,aidPercent,acceptance,tuition,gpa,enrollment,SAT,costAfterAid,type,academicCalendar,setting,website
Dordt University,,IA,Sioux Center,https://www.usnews.com/dims4/USNEWS/844307d/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ffd%2F9ceb7a9fa26441fd7531f6389be8d3%2Fcollege-photo_31982.jpg,#3,19,67,73,31770,3.6,1426,987,26039,Private,Semester,Rural,http://www.dordt.edu
Alderson Broaddus University,Alderson Broaddus Alderson Broaddus College,WV,Philippi,,#39,18,78,43,29220,3.2,836,920,20478,Private,Semester,Rural,http://www.ab.edu
Merrimack College,,MA,North Andover,https://www.usnews.com/dims4/USNEWS/cdec261/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F47%2F29afb41886c66e7558e31ac3cf91a1%2Fcollege-photo_20871.jpg,#46,20,70,83,43340,3.2,3726,1040,38408,Private,Semester,Suburban,https://www.merrimack.edu
Mills College,,CA,Oakland,https://www.usnews.com/dims4/USNEWS/ceac2e5/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F45%2F69040d43798ec7399bcd96e3609a30%2Fcollege-photo_29590.jpg,#5,21,80,86,30877,3.5,772,1008,25215,Private,Semester,Urban,http://www.mills.edu
University of Holy Cross,,LA,New Orleans,,#69,18,,46,14372,,,,,Private,Semester,Suburban,http://www.uhcno.edu/
Northwestern College,,IA,Orange City,https://www.usnews.com/dims4/USNEWS/0085f22/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F99%2Ffde9fe4012ee9e0468f115baf8a887%2Fcollege-photo_30465.jpg,#6,21,65,71,32300,3.6,1032,1070,37779,Private,Semester,Rural,http://www.nwciowa.edu
Oklahoma Baptist University,,OK,Shawnee,https://www.usnews.com/dims4/USNEWS/011252d/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F18%2F79eec6dcc50e063b0784574966616b%2FVBcover_USN.jpg,#7,20,63,64,29864,3.6,1808,990,32266,Private,4/1/2004,City,http://www.okbu.edu
McGill University,,,"Montreal, Quebec",,Unranked,,,,,,,,,Public,Semester,Urban,http://www.mcgill.ca/
Tennessee Wesleyan University,,TN,Athens,https://www.usnews.com/dims4/USNEWS/fe6d05a/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F15%2F0b52db8a3efec0fc39bf9acd7724aa%2Fcollege-photo_2107.jpg,#16,19,46,62,25150,3.3,983,920,23897,Private,Semester,Rural,http://www.tnwesleyan.edu
Midway University,,KY,Midway,https://www.usnews.com/dims4/USNEWS/47878cc/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F50%2F62e0e07ad40aa01cac76a749f55ba3%2F_J8I9330.jpg,#73,19,,61,24850,3.3,1456,960,,Private,Semester,Rural,http://www.midway.edu
Mount Carmel College of Nursing,,OH,Columbus,,Unranked,,,,22062,,,,,Private,N/A,N/A,//www.mccn.edu/
Aurora University,,IL,Aurora,,#293-#381,19,,87,,,,950,,Private,N/A,N/A,http://www.aurora.edu
Savannah College of Art and Design,SCAD,GA,Savannah,https://www.usnews.com/dims4/USNEWS/814ae07/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc8%2Fd0e904f14949490780f2d0c0877b22%2Fcollege-photo_5915.jpg,Unranked,20,,72,37575,,12217,1050,,Private,Quarter,City,http://www.scad.edu
Samford University,,AL,Birmingham,https://www.usnews.com/dims4/USNEWS/9326792/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F22%2Fa990aa37078c714b185ad43655c697%2Fcollege-photo_8613.jpg,#147,23,40,82,32850,3.8,3535,1072,31488,Private,4/1/2004,Suburban,http://www.samford.edu
